# Monthly wet deposition fluxes (ng/m2/d). Data provided by O. Travnikov, Global Mercury Assessment 2018
# SiteID,Lat,Lon,Month,Year,Concentration
CRB,46.8675,-68.0134,4,2015,0.163141E+02
CRB,46.8675,-68.0134,5,2015,0.243388E+02
CRB,46.8675,-68.0134,6,2015,0.369494E+02
CRB,46.8675,-68.0134,7,2015,0.260819E+02
CRB,46.8675,-68.0134,8,2015,0.331973E+02
CRB,46.8675,-68.0134,9,2015,0.160385E+02
CRB,46.8675,-68.0134,10,2015,0.156645E+02
CRB,46.8675,-68.0134,11,2015,0.612293E+01
CRB,46.8675,-68.0134,12,2015,0.106733E+02
CRP,46.2494,-94.4972,1,2015,0.129336E+01
CRP,46.2494,-94.4972,2,2015,0.217993E+01
CRP,46.2494,-94.4972,3,2015,0.252689E+01
CRP,46.2494,-94.4972,4,2015,0.160425E+02
CRP,46.2494,-94.4972,5,2015,0.349909E+02
CRP,46.2494,-94.4972,6,2015,0.171539E+02
CRP,46.2494,-94.4972,7,2015,0.575020E+02
CRP,46.2494,-94.4972,8,2015,0.254600E+02
CRP,46.2494,-94.4972,9,2015,0.302213E+02
CRP,46.2494,-94.4972,10,2015,0.165195E+02
CRP,46.2494,-94.4972,11,2015,0.898879E+01
CRP,46.2494,-94.4972,12,2015,0.364211E+01
CSB,43.8325,-70.0645,1,2015,0.833104E+01
CSB,43.8325,-70.0645,2,2015,0.887500E+01
CSB,43.8325,-70.0645,3,2015,0.698097E+01
CSB,43.8325,-70.0645,4,2015,0.987650E+01
CSB,43.8325,-70.0645,5,2015,0.246116E+02
CSB,43.8325,-70.0645,6,2015,0.290344E+02
CSB,43.8325,-70.0645,7,2015,0.210947E+02
CSB,43.8325,-70.0645,8,2015,0.170039E+02
CSB,43.8325,-70.0645,9,2015,0.147272E+02
CSB,43.8325,-70.0645,10,2015,0.226423E+02
CSB,43.8325,-70.0645,11,2015,0.922217E+01
CSB,43.8325,-70.0645,12,2015,0.145517E+02
CTV,32.9034,-87.2499,1,2015,0.931879E+01
CTV,32.9034,-87.2499,2,2015,0.188659E+02
CTV,32.9034,-87.2499,3,2015,0.356459E+02
CTV,32.9034,-87.2499,4,2015,0.390474E+02
CTV,32.9034,-87.2499,5,2015,0.490415E+02
CTV,32.9034,-87.2499,6,2015,0.732261E+02
CTV,32.9034,-87.2499,7,2015,0.963652E+02
CTV,32.9034,-87.2499,8,2015,0.505764E+02
CTV,32.9034,-87.2499,9,2015,0.153783E+02
CTV,32.9034,-87.2499,10,2015,0.250011E+02
CTV,32.9034,-87.2499,11,2015,0.414212E+02
CTV,32.9034,-87.2499,12,2015,0.507805E+02
DGS,45.5608,-84.6783,1,2015,0.889508E+01
DGS,45.5608,-84.6783,2,2015,0.613775E+01
DGS,45.5608,-84.6783,3,2015,0.751654E+01
DGS,45.5608,-84.6783,4,2015,0.128437E+02
DGS,45.5608,-84.6783,5,2015,0.171693E+02
DGS,45.5608,-84.6783,6,2015,0.177969E+02
DGS,45.5608,-84.6783,7,2015,0.152780E+02
DGS,45.5608,-84.6783,8,2015,0.115093E+02
DGS,45.5608,-84.6783,9,2015,0.176006E+02
DGS,45.5608,-84.6783,10,2015,0.137398E+02
DGS,45.5608,-84.6783,11,2015,0.237258E+02
DGS,45.5608,-84.6783,12,2015,0.262171E+02
DSA,37.4356,-88.6719,1,2015,0.822461E+01
DSA,37.4356,-88.6719,2,2015,0.940460E+01
